Character,Total pick rate,P1 pick rate,P2 pick rate
SO,13.70819568580169073049055160,6.842686449489023161670627995,6.865509236312667568819923601
KY,15.92408080649734771553125223,7.902908637387413348333360229,8.021172169109934367197892004
MA,10.30460351747556924410468974,5.052135083234011946230436376,5.252468434241557297874253361
AX,4.826443080200195031087402052,2.391551419277647270371642572,2.434891660922547760715759480
CH,8.380112361881796406909541077,4.006897553351145865271787116,4.373214808530650541637753961
PO,7.109874428565829907994199785,3.594012591723397045025439339,3.515861836842432862968760446
FA,9.343280072479638155088905128,4.495166871456992878829444622,4.848113201022645276259460506
MI,5.984872411400327818210739620,3.013299460321778240893362258,2.971572951078549577317377362
ZA,5.409461543604202159173953437,2.681101118777620759053615106,2.728360424826581400120338331
RA,20.96791669452276169552558112,10.54574124492538792974270190,10.42217544959737376578287922
LE,3.787199413523538592410385982,1.852795330319495962210997817,1.934404083204042630199388165
NA,13.00022822786823644407149296,6.511640773946059841808117996,6.488587453922176602263374960
GI,17.48156310731089937917409176,8.681649787794189180154779991,8.799913319516710199019311766
AN,3.214324410930040089723521533,1.613962934872065600527459962,1.600361476057974489196061571
IN,5.768862802776541863676497371,2.833714097335727804839814006,2.935148705440814058836683365
GO,1.484172743137602961890556668,0.7356314419621141738727502841,0.7485413011754887880178063844
JC,3.368320588689580129882405015,1.827897744693702063502675338,1.540422843995878066379729677
HA,4.952083674330358686606251600,2.609866359903821548860359125,2.342217314426537137745892475
BA,9.048658642574410353707089126,4.661842375229668700737936774,4.386816267344741652969152352
TE,8.277986154175993655726329427,4.160893731110685905430670598,4.117092423065307750295658829
BI,20.85910502401003280487439398,10.50516740168335342814395415,10.35393762232667937673043983
SI,6.798654608243406174140168797,3.479437591204697344488066449,3.319217017038708829652102348
