Character,Total pick rate,P1 pick rate,P2 pick rate,Raw Count
Sol Badguy,9.095,8.93,9.27,228860
Ky Kiske,4.55,4.46,4.64,233866
May,2.05,2.00,2.10,100019
Axl Low,3.765,3.61,3.92,45935
Chipp,5.145,5.19,5.10,83265
Potemkin,3.75,3.59,3.91,149941
Faust,3.02,2.96,3.07,73482
Millia,2.36,2.36,2.37,73568
Zato=1,8.265,8.31,8.22,52176
Ramlethal,2.405,2.40,2.42,156294
Leo Whitefang,5.53,5.57,5.49,66351
Nagoriyuki,7.405,7.24,7.56,117072
Anji Mito,2.21,2.22,2.20,147965
Ino,2.61,2.58,2.64,68977
Giovanna,1.24,1.31,1.17,57675
Jack-O,2.05,2.14,1.96,43336
Happy Chaos,2.575,2.65,2.50,56912
Baiken,6.235,6.44,6.04,58538
Testament,4.445,4.49,4.40,173529
Brisket,8.565,8.53,8.60,110121
Sin Kiske,12.735,13.04,12.43,165090
