Character,Total pick rate,P1 pick rate,P2 pick rate,Raw Count
Sol Badguy,9.115,8.98,9.25,247992
Ky Kiske,4.55,4.50,4.60,227034
May,2.075,2.01,2.14,115151
Axl Low,3.68,3.52,3.84,55177
Chipp,5.41,5.48,5.34,85986
Potemkin,3.615,3.44,3.79,158804
Faust,3.07,2.99,3.15,79372
Millia,2.39,2.38,2.40,82733
Zato=1,7.775,7.82,7.73,63598
Ramlethal,2.495,2.48,2.50,151673
Leo Whitefang,5.43,5.47,5.39,71394
Nagoriyuki,6.98,6.84,7.12,128108
Anji Mito,2.51,2.50,2.52,138285
Ino,2.58,2.55,2.61,90451
Giovanna,1.435,1.50,1.37,63297
Jack-O,2.14,2.21,2.07,54264
Happy Chaos,2.565,2.62,2.51,62821
Baiken,6.46,6.68,6.24,64471
Testament,4.54,4.57,4.51,181414
Brisket,8.06,8.03,8.10,123181
Sin Kiske,13.13,13.42,12.84,157874
