Character,Total pick rate,P1 pick rate,P2 pick rate
SO,17.75165523423136097516487585,9.192681730390958527539028667,8.558973503840402447625847179
KY,13.36291681709344700471274286,6.616511814775660380311279553,6.746405002317786624401463309
MA,9.174009921961554422655271467,4.718678985743048933629276100,4.455330936218505489025995367
AX,7.391014111246202904275682236,3.694967407980633125407096690,3.696046703265569778868585546
CH,9.091443832663900432851374024,4.152858432615008356443743622,4.938585400048892076407630402
PO,9.550845870697186978734105353,4.808800142035259497663595532,4.742045728661927481070509821
FA,7.083522884567750333097507313,3.192177699492893110372513371,3.891345185074857222724993942
MI,8.864899752355696871284863261,4.047519212805190978602431328,4.817380539550505892682431933
ZA,7.869519675822868216426766307,3.838081962763233374400518925,4.031437713059634842026247382
RA,8.318722373413503387098427953,4.166997200847678516789247629,4.151725172565824870309180324
LE,6.080263952454884107970541714,3.008373712468181025880961285,3.071890239986703082089580429
NA,11.29164123577151534676948034,5.780867440413456437753533208,5.510773795358058909015947127
GI,8.942716942399629585858209741,4.610479633428149424115018340,4.332237308971480161743191401
AN,7.979284006300925873460182908,3.946605103663613879953223342,4.032678902637311993506959566
IN,6.198338856626953996657422503,2.937787800833323889499590138,3.260551055793630107157832365
GO,6.916933657337777871316702472,3.621899117190421686064301175,3.295034540147356185252401297
JC,6.690767330379302138461712809,3.420178828435761154112034088,3.270588501943540984349678721
HA,7.909831354715252223213375059,3.814067642673392834882391891,4.095763712041859388330983168
BA,12.41087044625082498633342346,6.694167110526852596865402704,5.716703335723972389468020751
TE,7.719335736923932887260592069,3.968352903655087447202223780,3.750982833268845440058368289
BI,10.62323366581024585806943214,5.400415852473286092578711656,5.222817813336959765490720489
SI,8.778232340975283598327308167,4.367530264788908729933876974,4.410702076186374868393431193
