Character,Total pick rate,P1 pick rate,P2 pick rate
SO,15.18754760435054129079534912,7.665428502326521624558249676,7.522119102024019666237099447
KY,17.42815578489872682051670800,8.681228634445515354320760370,8.746927150453211466195947629
MA,9.752078347285243463539128520,4.666941012118127375705266350,5.085137335167116087833862170
AX,4.431401002804821260328564776,2.211007750259003765030340441,2.220393252545817495298224335
CH,7.122513293120065842908350570,3.378961313681535468174122726,3.743551979438530374734227844
PO,9.044736357630954830465340423,4.540417221674734588824754623,4.504319135956220241640585800
FA,8.555787786573677997855773709,4.066990827476418925504380503,4.488796959097259072351393206
MI,5.456406146782036148623038521,2.660067936597322244001400606,2.796338210184713904621637915
ZA,4.461181923522595596755504055,2.297101684697660483064583085,2.164080238824935113690920970
RA,19.22150868339451958862621515,9.472859654252534988069582670,9.748649029141984600556632482
LE,4.189002357204997418986871126,2.112640466676052168953480397,2.076361890528945250033390729
NA,12.39283380802316053179699880,6.220422131014392306775971670,6.172411677008768225021027135
GI,15.87395270428809160250231930,7.697916779473184537024001617,8.176035924814907065478317685
AN,3.604935330279435281547019561,1.864646617789858603798240579,1.740288712489576677748778982
IN,5.649350414947495334322420882,2.791284478184121896015854279,2.858065936763373438306566603
GO,1.700580818199210895846193276,0.8750175978167877757442522823,0.8255632203824231201019409941
JC,3.812138342303707634384148609,2.044956555953837767983163853,1.767181786349869866400984756
HA,4.956628150009205011858221158,2.530656299296448309346155373,2.425971850712756702512065785
BA,11.14835230287737841262277861,5.841392230969991661342199023,5.306960071907386751280579591
TE,8.785732592600614389418929114,4.538612317388808871465546182,4.247120275211805517953382932
BI,19.69403262544987239326698505,9.842323561581529331499550579,9.851709063868343061767434473
SI,7.531143623453648253033141652,3.999126426325611952798143114,3.532017197128036300234998538
