Character,Total pick rate,P1 pick rate,P2 pick rate,Raw Count
Sol Badguy,8.95,8.87,9.04,371846
Ky Kiske,4.515,4.47,4.56,331419
May,2.25,2.16,2.34,174642
Axl Low,3.74,3.54,3.94,109889
Chipp,5.64,5.78,5.50,155205
Potemkin,3.63,3.40,3.85,247851
Faust,3.205,3.10,3.32,146284
Millia,2.57,2.54,2.61,143798
Zato=1,7.005,7.05,6.96,123718
Ramlethal,2.65,2.65,2.65,189153
Leo Whitefang,5.525,5.61,5.44,123663
Nagoriyuki,6.47,6.36,6.58,229454
Anji Mito,2.93,2.90,2.96,198713
Ino,2.60,2.54,2.67,165395
Giovanna,1.775,1.85,1.70,106084
Jack-O,2.34,2.41,2.27,110361
Happy Chaos,2.60,2.63,2.57,116650
Baiken,6.485,6.71,6.26,107444
Testament,4.53,4.56,4.50,258996
Brisket,7.30,7.30,7.30,179316
Sin Kiske,13.285,13.58,12.99,201770
