Character,Total pick rate,P1 pick rate,P2 pick rate,Raw Count
Sol Badguy,6.03,5.91,6.15,21136
Ky Kiske,5.25,5.13,5.37,22641
May,2.115,2.08,2.15,19691
Axl Low,6.265,6.16,6.37,7988
Chipp,1.865,1.85,1.88,23110
Potemkin,4.63,4.37,4.88,7084
Faust,4.78,4.80,4.76,17440
Millia,4.165,3.98,4.35,17800
Zato=1,10.415,10.31,10.51,15659
Ramlethal,2.175,2.18,2.17,37995
Leo Whitefang,5.225,5.23,5.22,8274
Nagoriyuki,10.02,10.07,9.97,19632
Anji Mito,1.775,1.89,1.66,36813
Ino,2.75,2.66,2.83,6756
Giovanna,0.565,0.61,0.51,10356
Jack-O,1.72,1.81,1.63,2178
Happy Chaos,4.085,4.35,3.82,6570
Baiken,3.505,3.75,3.26,15372
Testament,3.415,3.52,3.31,13303
Brisket,10.555,10.69,10.42,13012
Sin Kiske,8.695,8.63,8.76,38454
