Character,Total pick rate,P1 pick rate,P2 pick rate
SO,18.62253375896182098094552039,9.526880522826034235907643169,9.095653236135786745037877223
KY,19.12597657127151420867412654,9.332329741119915497056588589,9.793646830151598711617537954
MA,8.120474179356778828276150733,3.941225184895098865210260353,4.179248994461679963065890380
AX,3.873141393328506988917970707,1.881465939241952549729012138,1.991675454086554439188958569
CH,6.975175463966788043839494707,3.337632731956447930270700437,3.637542732010340113568794270
PO,11.75226841181532226627409205,5.850715059452060208347180630,5.901553352363262057926911421
FA,6.560115832265968703012752687,3.143171770555826014475440434,3.416944061710142688537312253
MI,6.023708967838941413807536642,2.976914385081206538199677725,3.046794582757734875607858917
ZA,4.241763927087468809898916229,2.170866963552716435499140420,2.070896963534752374399775809
RA,14.54415296757307330953694040,7.280384862044992787429468605,7.263768105528080522107471792
LE,5.164487925456332062076609535,2.603800836047403564429003336,2.560687089408928497647606199
NA,10.46110152029849083922704238,5.301553711644484045219134599,5.159547808654006794007907780
GI,13.89816533043992189226233996,6.825624655314577655941523388,7.072540675125344236320816574
AN,4.600146946019792802519279929,2.280627376869834209680113964,2.319519569149958592839165965
IN,4.831434232674112171190316652,2.388860844993505991912579693,2.442573387680606179277736959
GO,2.900656945714403763830081539,1.553711644484045219134599321,1.346945301230358544695482218
JC,4.369308760892957549127216091,2.270926783876177319654299608,2.098381977016780229472916483
HA,5.373320135736445666799001916,2.736016325738727102558621222,2.637303809997718564240380694
BA,14.03702752273801033652075657,7.174576542169735227703456465,6.862450980568275108817300109
TE,9.304036344888416234481296718,4.679997197606468499120659209,4.624039147281947735360637509
BI,15.66349361467448223084896356,7.751312723764836068960437748,7.912180890909646161888525815
SI,9.557509247000450897933594052,4.991404196763954033560458946,4.566105050236496864373135106
