Character,Total pick rate,P1 pick rate,P2 pick rate,Raw Count
Sol Badguy,4.225,4.42,4.03,307
Ky Kiske,4.905,4.21,5.60,242
May,3.46,3.58,3.34,272
Axl Low,9.115,8.24,9.98,198
Chipp,1.93,1.95,1.91,494
Potemkin,4.225,3.37,5.08,111
Faust,6.765,7.44,6.09,238
Millia,4.75,3.62,5.88,377
Zato=1,11.41,9.77,13.04,264
Ramlethal,2.66,3.06,2.26,619
Leo Whitefang,6.21,6.92,5.50,146
Nagoriyuki,9.67,10.68,8.66,354
Anji Mito,2.245,2.33,2.16,532
Ino,3.93,4.10,3.76,126
Giovanna,0.225,0.35,0.10,226
Jack-O,1.81,2.12,1.50,13
Happy Chaos,4.295,4.73,3.86,104
Baiken,2.80,3.30,2.30,233
Testament,2.105,1.98,2.23,161
Brisket,6.52,7.48,5.57,119
Sin Kiske,6.75,6.33,7.17,365
