Character,Win Rate
Axl Low,55.8052977571539
Jack-O,54.920645802625714
Potemkin,53.283878155484906
Ino,52.33027345947945
Zato=1,52.15567099202928
Nagoriyuki,52.13620468787868
Faust,52.07106762611754
Happy Chaos,51.92849404117009
Giovanna,51.685827207538914
Chipp,51.38713257116313
Testament,51.242701232001465
May,50.98690893134299
Leo Whitefang,50.964765986193505
Millia,50.94671073482139
Sol Badguy,50.85061108078298
Baiken,50.18219991312321
Anji Mito,49.646372328458945
Ramlethal,49.521212075551304
Ky Kiske,49.421171826566635
Brisket,49.13600170515963
Sin Kiske,48.23073814655172
