Character,Win Rate
Potemkin,61.6120096506121
Testament,55.851607771844115
Ky Kiske,54.11376233342505
May,54.0671380342697
Faust,53.30214144322476
Brisket,53.09981597817121
Ramlethal,53.040917859681194
Sol Badguy,52.03279955351393
Sin Kiske,51.88341905461671
Axl Low,51.508906226998384
Anji Mito,50.926082543978346
Giovanna,50.60069758429143
Nagoriyuki,50.34576438626821
Leo Whitefang,50.26536930561698
Millia,49.09025183757079
Happy Chaos,48.573861217539374
Ino,47.38115816767502
Jack-O,46.246153846153845
Chipp,42.672413793103445
Baiken,41.149686966420035
Zato=1,40.82464146023468
