Character,Win Rate
Potemkin,62.690250925545044
Axl Low,60.07604562737643
Ky Kiske,57.39507511228125
Testament,57.109172365008256
Faust,56.945437217059805
May,56.57894736842105
Nagoriyuki,55.641166758392956
Ramlethal,54.47458684128469
Giovanna,54.05857740585775
Sin Kiske,53.68809272918862
Brisket,53.5681186283596
Sol Badguy,52.58209171126862
Anji Mito,51.13244176013805
Leo Whitefang,47.40338164251207
Jack-O,47.360912981455066
Zato=1,43.630499884819166
Millia,42.23771983020012
Chipp,41.967213114754095
Ino,41.87946884576098
Baiken,37.99313893653517
Happy Chaos,36.904761904761905
