Character,Win Rate
Baiken,55.77
Happy Chaos,54.69
Jack-O,54.33
Leo Whitefang,53.18
May,52.43
Testament,52.29
Axl Low,51.96
Zato=1,51.63
Giovanna,51.57
Potemkin,51.35
Millia,51.32
Ky Kiske,50.84
Chipp,50.81
Ino,50.78
Nagoriyuki,50.7
Sol Badguy,49.88
Ramlethal,49.85
Brisket,49.3
Anji Mito,49.24
Sin Kiske,48.09
Faust,47.11
