Character,Win Rate
Ino,58.640623316936555
Potemkin,54.644118446074444
Jack-O,54.13977128335451
Ky Kiske,53.79810115599773
Testament,53.60272692286547
Leo Whitefang,52.186920361395316
Sol Badguy,51.851483919036376
May,51.75271480281959
Happy Chaos,51.587775230078215
Anji Mito,51.002152993374494
Millia,50.99925980754997
Brisket,50.77540964241719
Axl Low,50.77164963382845
Nagoriyuki,50.716393349599954
Ramlethal,50.714556439925985
Chipp,50.68845680098539
Giovanna,50.081289798130335
Faust,49.8349320231875
Sin Kiske,47.640634463961234
Zato=1,47.28543859010305
Baiken,46.4068812719927
