Character,Win Rate
Ino,55.15822497044649
Potemkin,53.51097007167478
Jack-O,53.47234493726807
May,53.08945682049413
Testament,53.03431072622017
Ky Kiske,52.63039721311252
Giovanna,52.381083918015584
Sol Badguy,51.89285187811059
Axl Low,51.83899032896456
Millia,51.73556900571038
Brisket,50.8529263228775
Ramlethal,50.70399301343943
Zato=1,50.45987947986045
Anji Mito,50.348282730729764
Nagoriyuki,50.33903655533809
Leo Whitefang,49.90988854635997
Faust,49.626446603838076
Happy Chaos,49.61680458306811
Chipp,49.21404294762861
Sin Kiske,49.10633337650563
Baiken,48.362044977359545
