Character,Win Rate
Potemkin,61.005892255892256
Testament,58.955866523143165
Ky Kiske,56.158347676419965
Jack-O,55.763427881713945
Nagoriyuki,53.99959291675147
Giovanna,53.12791783380019
Ramlethal,53.08687844448573
Sin Kiske,52.89999623621514
Sol Badguy,52.728854098717115
May,51.97411610241021
Anji Mito,51.554517588673185
Brisket,50.779436152570476
Axl Low,49.84622663827774
Faust,48.49147858129894
Millia,47.98981262506822
Leo Whitefang,47.80121558813014
Happy Chaos,46.06299212598425
Chipp,45.38450956115009
Ino,45.19832985386221
Zato=1,41.43296853625171
Baiken,38.95118733509235
