Character,Win Rate
Potemkin,56.848083050673246
Testament,56.514540602660745
Ino,53.797865662272436
Ky Kiske,53.573304617324155
Leo Whitefang,53.259511641113
May,53.0294059601342
Ramlethal,52.583535589442995
Sol Badguy,52.17517823366797
Anji Mito,51.27667214756856
Giovanna,50.93298555377207
Brisket,50.75285212513955
Jack-O,50.09447593642326
Happy Chaos,50.08954251912954
Axl Low,49.906142792413746
Nagoriyuki,49.852952865432
Chipp,49.56961390606719
Faust,49.35588953875768
Sin Kiske,48.590593308312705
Millia,48.5159931815903
Zato=1,44.84685031785783
Baiken,42.00535289452815
