Character,Win Rate
Potemkin,59.51635846372688
Testament,56.47604925536716
Ino,53.67146858743498
Ky Kiske,53.55091953187468
Sol Badguy,53.37313130802115
Faust,52.83704301695307
Giovanna,52.37691721040589
Anji Mito,52.11367345053727
May,51.55309734513275
Ramlethal,51.475980069568486
Leo Whitefang,50.97576134244872
Jack-O,50.87248322147651
Axl Low,50.79749202507975
Sin Kiske,49.96381607978113
Brisket,49.78900953013133
Nagoriyuki,49.255182778588164
Chipp,48.47176773654529
Millia,46.07718067293893
Zato=1,45.49163179916318
Happy Chaos,45.189832689832684
Baiken,43.26374286572544
