Character 1,Character 2,Floor,Num Matches,Player 1 Win Rate,Player 2 Win Rate,Score
7,3,658,51.37,48.63,+1
7,4,1408,48.30,51.70,-1
7,5,2257,47.72,52.28,-1
7,6,1136,50.79,49.21,0
7,7,993,50.00,50.00,99
7,8,780,52.44,47.56,+1
7,9,2487,51.43,48.57,+1
7,10,1046,42.64,57.36,-3
7,11,1648,54.67,45.33,+2
7,12,2206,53.85,46.15,+2
7,13,988,44.64,55.36,-3
7,14,870,49.54,50.46,0
7,15,664,35.69,64.31,-3
7,16,857,55.66,44.34,+3
7,17,822,52.68,47.32,+2
7,18,2725,48.33,51.67,-1
7,19,1636,51.04,48.96,0
7,20,2511,48.55,51.45,-1
7,21,1503,55.42,44.58,+3
8,0,2478,50.52,49.48,0
8,1,2503,49.98,50.02,0
8,2,1175,41.70,58.30,-3
8,3,486,40.74,59.26,-3
8,4,1007,49.45,50.55,0
8,5,1658,47.23,52.77,-2
8,6,936,45.41,54.59,-2
8,7,917,44.17,55.83,-3
8,8,551,50.00,50.00,99
8,9,1560,51.28,48.72,+1
8,10,619,47.33,52.67,-2
8,11,1298,51.00,49.00,0
8,12,1543,54.57,45.43,+2
8,13,733,45.02,54.98,-2
8,14,543,48.99,51.01,0
8,15,446,49.33,50.67,0
8,16,608,45.56,54.44,-2
8,17,667,43.03,56.97,-3
8,18,1852,49.30,50.70,0
8,19,1238,48.47,51.53,-1
8,20,1884,51.59,48.41,+1
8,21,1144,51.14,48.86,0
9,0,8750,46.19,53.81,-2
9,1,9379,46.88,53.12,-2
9,2,3693,45.55,54.45,-2
9,3,1461,51.13,48.87,0
9,4,2522,49.68,50.32,0
9,5,5037,47.93,52.07,-1
9,6,2337,52.25,47.75,+1
9,7,2724,44.82,55.18,-3
9,8,1713,46.94,53.06,-2
9,9,4552,50.00,50.00,99
9,10,2205,47.76,52.24,-1
9,11,4103,50.79,49.21,0
9,12,5534,47.31,52.69,-2
9,13,2427,43.14,56.86,-3
9,14,2009,47.19,52.81,-2
9,15,1341,47.65,52.35,-1
9,16,1902,50.37,49.63,0
9,17,2163,50.72,49.28,0
9,18,5843,48.76,51.24,0
9,19,3517,51.49,48.51,+1
9,20,5722,50.03,49.97,0
9,21,3436,49.88,50.12,0
10,0,2944,49.35,50.65,0
10,1,3270,48.75,51.25,0
10,2,1254,52.23,47.77,+1
10,3,634,41.64,58.36,-3
10,4,1224,57.52,42.48,+3
10,5,2248,41.95,58.05,-3
10,6,1082,47.23,52.77,-2
10,7,1102,55.81,44.19,+3
10,8,741,49.53,50.47,0
10,9,2071,51.38,48.62,+1
10,10,852,50.00,50.00,99
10,11,1667,49.97,50.03,0
10,12,2092,55.16,44.84,+3
10,13,961,49.95,50.05,0
10,14,899,49.28,50.72,0
10,15,609,43.02,56.98,-3
10,16,707,44.55,55.45,-3
10,17,763,49.02,50.98,0
10,18,2465,49.57,50.43,0
10,19,1542,40.79,59.21,-3
10,20,2430,51.85,48.15,+1
10,21,1563,50.61,49.39,0
11,0,5837,54.72,45.28,+2
11,1,6249,47.64,52.36,-1
11,2,2300,47.65,52.35,-1
11,3,1135,45.20,54.80,-2
11,4,2240,49.64,50.36,0
11,5,3924,47.63,52.37,-1
11,6,1824,45.34,54.66,-2
11,7,1934,49.07,50.93,0
11,8,1232,51.14,48.86,0
11,9,3735,48.54,51.46,-1
11,10,1662,51.38,48.62,+1
11,11,2680,50.00,50.00,99
11,12,3966,49.77,50.23,0
11,13,1750,42.97,57.03,-3
11,14,1282,45.40,54.60,-2
11,15,1044,49.81,50.19,0
11,16,1319,47.99,52.01,-1
11,17,1321,48.37,51.63,-1
11,18,4361,49.67,50.33,0
11,19,2724,47.25,52.75,-2
11,20,4311,52.24,47.76,+1
11,21,2714,50.77,49.23,0
12,0,6787,48.45,51.55,-1
12,1,7374,49.61,50.39,0
12,2,2997,47.61,52.39,-1
12,3,1573,51.75,48.25,+1
12,4,2701,47.98,52.02,-1
12,5,4410,47.98,52.02,-1
12,6,2362,46.06,53.94,-2
12,7,2331,45.69,54.31,-2
12,8,1609,48.29,51.71,-1
12,9,4393,51.01,48.99,0
12,10,2162,45.00,55.00,-2
12,11,3897,49.50,50.50,0
12,12,4111,50.00,50.00,99
12,13,2075,43.81,56.19,-3
12,14,2046,43.70,56.30,-3
12,15,1394,43.83,56.17,-3
12,16,1714,45.62,54.38,-2
12,17,1563,49.84,50.16,0
12,18,5573,48.11,51.89,-1
12,19,3773,45.67,54.33,-2
12,20,5315,47.77,52.23,-1
12,21,3489,49.13,50.87,0
13,0,3389,53.32,46.68,+2
13,1,3627,53.29,46.71,+2
13,2,1372,57.58,42.42,+3
13,3,748,54.95,45.05,+2
13,4,1199,55.05,44.95,+3
13,5,2235,49.53,50.47,0
13,6,1237,57.72,42.28,+3
13,7,1092,54.76,45.24,+2
13,8,802,54.24,45.76,+2
13,9,2284,55.34,44.66,+3
13,10,1044,53.26,46.74,+2
13,11,1745,54.67,45.33,+2
13,12,2088,55.89,44.11,+3
13,13,759,50.00,50.00,99
13,14,784,58.16,41.84,+3
13,15,649,49.15,50.85,0
13,16,742,53.23,46.77,+2
13,17,827,51.63,48.37,+1
13,18,2397,52.82,47.18,+2
13,19,1604,50.81,49.19,0
13,20,2380,54.37,45.63,+2
13,21,1694,54.25,45.75,+2
14,0,2405,43.45,56.55,-3
14,1,2581,48.16,51.84,-1
14,2,1247,50.12,49.88,0
14,3,685,52.70,47.30,+2
14,4,1017,53.88,46.12,+2
14,5,1735,49.51,50.49,0
14,6,1039,53.61,46.39,+2
14,7,974,47.64,52.36,-1
14,8,655,53.59,46.41,+2
14,9,1728,55.79,44.21,+3
14,10,838,46.42,53.58,-2
14,11,1425,53.26,46.74,+2
14,12,2161,55.67,44.33,+3
14,13,805,42.36,57.64,-3
14,14,781,50.00,50.00,99
14,15,507,49.51,50.49,0
14,16,687,48.91,51.09,0
14,17,625,54.24,45.76,+2
14,18,2168,44.42,55.58,-3
14,19,1481,51.32,48.68,+1
14,20,2076,53.03,46.97,+2
14,21,1395,48.89,51.11,0
15,0,2223,57.00,43.00,+3
15,1,2367,55.81,44.19,+3
15,2,829,55.01,44.99,+3
15,3,396,31.06,68.94,-3
15,4,821,55.18,44.82,+3
15,5,1424,57.51,42.49,+3
15,6,866,48.50,51.50,-1
15,7,710,57.61,42.39,+3
15,8,497,50.70,49.30,0
15,9,1386,53.17,46.83,+2
15,10,667,59.22,40.78,+3
15,11,1224,48.45,51.55,-1
15,12,1555,56.53,43.47,+3
15,13,687,49.20,50.80,0
15,14,626,43.13,56.87,-3
15,15,381,50.00,50.00,99
15,16,513,48.34,51.66,-1
15,17,490,48.78,51.22,0
15,18,1595,52.98,47.02,+2
15,19,1059,42.78,57.22,-3
15,20,1522,55.52,44.48,+3
15,21,1036,56.56,43.44,+3
16,0,2832,50.18,49.82,0
16,1,3012,49.10,50.90,0
16,2,1240,45.16,54.84,-2
16,3,501,45.91,54.09,-2
16,4,1026,50.29,49.71,0
16,5,1813,52.12,47.88,+1
16,6,914,50.00,50.00,0
16,7,1015,41.38,58.62,-3
16,8,669,54.26,45.74,+2
16,9,2050,48.98,51.02,0
16,10,758,56.86,43.14,+3
16,11,1335,54.83,45.17,+2
16,12,1782,54.49,45.51,+2
16,13,763,42.46,57.54,-3
16,14,717,47.42,52.58,-2
16,15,504,51.19,48.81,0
16,16,602,50.00,50.00,99
16,17,728,47.80,52.20,-1
16,18,2184,48.03,51.97,-1
16,19,1308,52.75,47.25,+2
16,20,2172,51.70,48.30,+1
16,21,1313,52.17,47.83,+1
17,0,2925,48.24,51.76,-1
17,1,2965,48.53,51.47,-1
17,2,1192,47.48,52.52,-2
17,3,717,46.03,53.97,-2
17,4,1182,45.85,54.15,-2
17,5,1877,40.65,59.35,-3
17,6,983,54.53,45.47,+2
17,7,1001,44.16,55.84,-3
17,8,750,46.93,53.07,-2
17,9,2031,47.96,52.04,-1
17,10,881,47.45,52.55,-2
17,11,1381,48.66,51.34,-1
17,12,1848,48.81,51.19,0
17,13,840,48.10,51.90,-1
17,14,632,42.25,57.75,-3
17,15,506,44.47,55.53,-3
