Character 1,Character 2,Floor,Num Matches,Player 1 Win Rate,Player 2 Win Rate,Score
SO,KY,18816,51.51,48.49,+1
SO,MA,9016,49.63,50.37,0
SO,AX,6101,44.62,55.38,-3
SO,CH,7930,51.40,48.60,+1
SO,PO,11277,43.25,56.75,-3
SO,FA,7674,49.75,50.25,0
SO,MI,7098,52.14,47.86,+1
SO,ZA,6526,47.33,52.67,-2
SO,RA,9610,52.74,47.26,+2
SO,LE,6249,48.68,51.32,-1
SO,NA,10801,44.10,55.90,-3
SO,GI,10617,48.82,51.18,0
SO,AN,8386,46.86,53.14,-2
SO,IN,5383,49.19,50.81,0
SO,GO,5094,41.01,58.99,-3
SO,JC,5639,47.10,52.90,-2
SO,HA,5061,49.28,50.72,0
SO,BA,11986,50.10,49.90,0
SO,TE,9632,45.34,54.66,-2
SO,BI,10094,53.00,47.00,+2
SO,SI,8014,50.21,49.79,0
KY,SO,18965,46.39,53.61,-2
KY,MA,8155,49.20,50.80,0
KY,AX,4831,43.08,56.92,-3
KY,CH,7061,49.50,50.50,0
KY,PO,10373,47.56,52.44,-1
KY,FA,6611,45.41,54.59,-2
KY,MI,6455,49.09,50.91,0
KY,ZA,5382,46.54,53.46,-2
KY,RA,8729,51.07,48.93,0
KY,LE,5370,48.10,51.90,-1
KY,NA,9825,48.08,51.92,-1
KY,GI,8702,50.38,49.62,0
KY,AN,7357,46.72,53.28,-2
KY,IN,4685,47.02,52.98,-2
KY,GO,4708,40.48,59.52,-3
KY,JC,4581,47.72,52.28,-1
KY,HA,4514,49.00,51.00,0
KY,BA,11401,50.42,49.58,0
KY,TE,7966,53.31,46.69,+2
KY,BI,8734,52.07,47.93,+1
KY,SI,6685,50.34,49.66,0
MA,SO,8919,50.13,49.87,0
MA,KY,7373,49.23,50.77,0
MA,AX,2404,49.13,50.87,0
MA,CH,3652,49.70,50.30,0
MA,PO,5315,49.54,50.46,0
MA,FA,3740,51.39,48.61,+1
MA,MI,3130,52.94,47.06,+2
