Character 1,Character 2,Floor,Num Matches,Player 1 Win Rate,Player 2 Win Rate,Score
Sol Badguy,Ky Kiske,4214,54.41,45.59,+2
Sol Badguy,May,2145,52.91,47.09,+2
Sol Badguy,Axl Low,845,51.48,48.52,+1
Sol Badguy,Chipp,1517,58.40,41.60,+3
Sol Badguy,Potemkin,1984,41.68,58.32,-3
Sol Badguy,Faust,1857,52.93,47.07,+2
Sol Badguy,Millia,1174,58.86,41.14,+3
Sol Badguy,Zato=1,862,56.50,43.50,+3
Sol Badguy,Ramlethal,4428,54.54,45.46,+2
Sol Badguy,Leo Whitefang,796,46.86,53.14,-2
Sol Badguy,Nagoriyuki,2578,50.74,49.26,0
Sol Badguy,Anji Mito,3313,51.58,48.42,+1
Sol Badguy,Ino,747,51.81,48.19,+1
Sol Badguy,Giovanna,1030,54.08,45.92,+2
Sol Badguy,Jack-O,318,46.54,53.46,-2
Sol Badguy,Happy Chaos,749,58.34,41.66,+3
Sol Badguy,Baiken,986,56.29,43.71,+3
Sol Badguy,Testament,2420,48.88,51.12,0
Sol Badguy,Brisket,1689,49.44,50.56,0
Sol Badguy,Sin Kiske,4198,55.62,44.38,+3
Ky Kiske,Sol Badguy,3995,51.21,48.79,0
Ky Kiske,May,2557,57.10,42.90,+3
Ky Kiske,Axl Low,1047,58.45,41.55,+3
Ky Kiske,Chipp,1603,57.27,42.73,+3
Ky Kiske,Potemkin,2181,46.77,53.23,-2
Ky Kiske,Faust,2166,58.13,41.87,+3
Ky Kiske,Millia,1250,54.96,45.04,+2
Ky Kiske,Zato=1,932,63.73,36.27,+3
Ky Kiske,Ramlethal,4992,55.47,44.53,+3
Ky Kiske,Leo Whitefang,1100,51.00,49.00,0
Ky Kiske,Nagoriyuki,2893,54.61,45.39,+2
Ky Kiske,Anji Mito,4007,52.13,47.87,+1
Ky Kiske,Ino,930,52.04,47.96,+1
Ky Kiske,Giovanna,1300,54.69,45.31,+2
Ky Kiske,Jack-O,401,52.87,47.13,+2
Ky Kiske,Happy Chaos,827,58.89,41.11,+3
Ky Kiske,Baiken,1178,59.76,40.24,+3
Ky Kiske,Testament,2609,50.29,49.71,0
Ky Kiske,Brisket,1855,55.58,44.42,+3
Ky Kiske,Sin Kiske,4853,55.82,44.18,+3
May,Sol Badguy,2009,52.71,47.29,+2
May,Ky Kiske,2378,44.95,55.05,-3
May,Axl Low,584,55.48,44.52,+3
May,Chipp,1072,62.41,37.59,+3
May,Potemkin,1132,40.46,59.54,-3
May,Faust,1237,55.46,44.54,+3
May,Millia,771,63.29,36.71,+3
May,Zato=1,509,65.03,34.97,+3
May,Ramlethal,2594,51.73,48.27,+1
May,Leo Whitefang,512,51.95,48.05,+1
May,Nagoriyuki,1567,52.46,47.54,+1
May,Anji Mito,2077,53.06,46.94,+2
May,Ino,420,47.62,52.38,-1
May,Giovanna,673,53.64,46.36,+2
May,Jack-O,226,52.65,47.35,+2
May,Happy Chaos,410,59.76,40.24,+3
May,Baiken,616,62.99,37.01,+3
May,Testament,1337,48.32,51.68,-1
May,Brisket,1057,52.41,47.59,+1
May,Sin Kiske,2599,51.83,48.17,+1
Axl Low,Sol Badguy,837,52.81,47.19,+2
Axl Low,Ky Kiske,971,49.64,50.36,0
Axl Low,May,643,48.99,51.01,0
Axl Low,Chipp,547,54.66,45.34,+2
Axl Low,Potemkin,542,48.89,51.11,0
Axl Low,Faust,549,60.29,39.71,+3
Axl Low,Millia,338,56.80,43.20,+3
Axl Low,Zato=1,262,69.47,30.53,+3
Axl Low,Ramlethal,1157,52.03,47.97,+1
Axl Low,Leo Whitefang,272,57.35,42.65,+3
Axl Low,Nagoriyuki,775,61.68,38.32,+3
Axl Low,Anji Mito,1048,47.14,52.86,-2
Axl Low,Ino,225,47.11,52.89,-2
Axl Low,Giovanna,378,56.35,43.65,+3
Axl Low,Jack-O,84,58.33,41.67,+3
Axl Low,Happy Chaos,213,58.69,41.31,+3
Axl Low,Baiken,298,56.71,43.29,+3
Axl Low,Testament,620,42.10,57.90,-3
Axl Low,Brisket,570,50.53,49.47,0
Axl Low,Sin Kiske,1124,51.51,48.49,+1
Chipp,Sol Badguy,1423,44.48,55.52,-3
Chipp,Ky Kiske,1597,43.14,56.86,-3
Chipp,May,932,35.62,64.38,-3
Chipp,Axl Low,430,51.16,48.84,0
Chipp,Potemkin,962,37.63,62.37,-3
Chipp,Faust,823,47.27,52.73,-2
Chipp,Millia,510,50.78,49.22,0
Chipp,Zato=1,436,57.34,42.66,+3
Chipp,Ramlethal,1805,47.92,52.08,-1
Chipp,Leo Whitefang,420,42.62,57.38,-3
Chipp,Nagoriyuki,1279,44.10,55.90,-3
Chipp,Anji Mito,1571,45.83,54.17,-2
Chipp,Ino,314,43.63,56.37,-3
Chipp,Giovanna,581,42.17,57.83,-3
Chipp,Jack-O,154,40.26,59.74,-3
Chipp,Happy Chaos,246,51.63,48.37,+1
Chipp,Baiken,403,59.55,40.45,+3
Chipp,Testament,989,35.89,64.11,-3
Chipp,Brisket,856,50.35,49.65,0
Chipp,Sin Kiske,1655,45.74,54.26,-2
Potemkin,Sol Badguy,1745,58.62,41.38,+3
Potemkin,Ky Kiske,2217,55.57,44.43,+3
Potemkin,May,1350,63.04,36.96,+3
Potemkin,Axl Low,527,52.75,47.25,+2
Potemkin,Chipp,1008,61.61,38.39,+3
Potemkin,Faust,1191,59.19,40.81,+3
Potemkin,Millia,729,62.28,37.72,+3
Potemkin,Zato=1,489,66.87,33.13,+3
Potemkin,Ramlethal,2502,60.19,39.81,+3
Potemkin,Leo Whitefang,580,55.69,44.31,+3
Potemkin,Nagoriyuki,1481,62.66,37.34,+3
Potemkin,Anji Mito,2004,64.32,35.68,+3
Potemkin,Ino,457,59.52,40.48,+3
Potemkin,Giovanna,783,60.15,39.85,+3
Potemkin,Jack-O,240,55.00,45.00,+2
Potemkin,Happy Chaos,473,63.42,36.58,+3
Potemkin,Baiken,567,68.96,31.04,+3
Potemkin,Testament,1192,54.45,45.55,+2
Potemkin,Brisket,1091,59.40,40.60,+3
Potemkin,Sin Kiske,2439,59.45,40.55,+3
Faust,Sol Badguy,1657,49.06,50.94,0
Faust,Ky Kiske,1849,43.97,56.03,-3
Faust,May,1077,48.10,51.90,-1
Faust,Axl Low,527,44.40,55.60,-3
Faust,Chipp,876,58.11,41.89,+3
Faust,Potemkin,1039,41.19,58.81,-3
Faust,Millia,608,51.64,48.36,+1
Faust,Zato=1,626,61.34,38.66,+3
Faust,Ramlethal,2167,49.61,50.39,0
Faust,Leo Whitefang,467,54.82,45.18,+2
Faust,Nagoriyuki,1524,55.25,44.75,+3
Faust,Anji Mito,1899,57.98,42.02,+3
Faust,Ino,351,51.85,48.15,+1
Faust,Giovanna,676,49.85,50.15,0
Faust,Jack-O,185,46.49,53.51,-2
Faust,Happy Chaos,361,53.46,46.54,+2
Faust,Baiken,580,53.28,46.72,+2
Faust,Testament,1165,45.15,54.85,-2
Faust,Brisket,970,48.04,51.96,-1
Faust,Sin Kiske,2177,54.94,45.06,+2
Millia,Sol Badguy,1101,47.68,52.32,-1
Millia,Ky Kiske,1311,42.41,57.59,-3
Millia,May,770,40.78,59.22,-3
Millia,Axl Low,383,52.22,47.78,+1
Millia,Chipp,526,50.00,50.00,0
Millia,Potemkin,696,40.80,59.20,-3
Millia,Faust,675,46.81,53.19,-2
Millia,Zato=1,330,55.76,44.24,+3
Millia,Ramlethal,1367,49.45,50.55,0
Millia,Leo Whitefang,328,50.30,49.70,0
Millia,Nagoriyuki,863,49.94,50.06,0
Millia,Anji Mito,1363,49.16,50.84,0
Millia,Ino,210,42.38,57.62,-3
Millia,Giovanna,428,46.50,53.50,-2
Millia,Jack-O,104,21.15,78.85,-3
Millia,Happy Chaos,241,55.60,44.40,+3
Millia,Baiken,314,57.96,42.04,+3
Millia,Testament,779,43.39,56.61,-3
Millia,Brisket,727,46.77,53.23,-2
Millia,Sin Kiske,1347,46.47,53.53,-2
Zato=1,Sol Badguy,962,45.22,54.78,-2
Zato=1,Ky Kiske,976,39.96,60.04,-3
Zato=1,May,561,37.25,62.75,-3
Zato=1,Axl Low,272,35.66,64.34,-3
Zato=1,Chipp,530,55.66,44.34,+3
Zato=1,Potemkin,621,36.23,63.77,-3
Zato=1,Faust,540,42.96,57.04,-3
Zato=1,Millia,287,54.01,45.99,+2
Zato=1,Ramlethal,1174,41.82,58.18,-3
Zato=1,Leo Whitefang,258,45.74,54.26,-2
Zato=1,Nagoriyuki,777,42.99,57.01,-3
Zato=1,Anji Mito,1187,51.05,48.95,0
Zato=1,Ino,219,51.60,48.40,+1
Zato=1,Giovanna,378,37.30,62.70,-3
Zato=1,Jack-O,129,41.86,58.14,-3
Zato=1,Happy Chaos,250,45.60,54.40,-2
Zato=1,Baiken,334,48.50,51.50,-1
Zato=1,Testament,689,36.14,63.86,-3
Zato=1,Brisket,586,38.74,61.26,-3
Zato=1,Sin Kiske,1296,48.69,51.31,-1
Ramlethal,Sol Badguy,4074,47.28,52.72,-2
Ramlethal,Ky Kiske,4783,47.38,52.62,-2
Ramlethal,May,2767,47.78,52.22,-1
Ramlethal,Axl Low,1108,55.23,44.77,+3
Ramlethal,Chipp,1920,53.28,46.72,+2
Ramlethal,Potemkin,2208,40.22,59.78,-3
Ramlethal,Faust,2322,53.40,46.60,+2
Ramlethal,Millia,1550,53.10,46.90,+2
Ramlethal,Zato=1,1180,61.36,38.64,+3
Ramlethal,Leo Whitefang,1152,50.26,49.74,0
Ramlethal,Nagoriyuki,3301,52.32,47.68,+1
Ramlethal,Anji Mito,4147,51.29,48.71,+1
Ramlethal,Ino,844,52.37,47.63,+1
Ramlethal,Giovanna,1526,49.48,50.52,0
Ramlethal,Jack-O,488,53.07,46.93,+2
Ramlethal,Happy Chaos,947,55.65,44.35,+3
Ramlethal,Baiken,1314,59.74,40.26,+3
Ramlethal,Testament,3003,46.19,53.81,-2
Ramlethal,Brisket,2212,52.49,47.51,+1
Ramlethal,Sin Kiske,5448,50.11,49.89,0
Leo Whitefang,Sol Badguy,869,51.90,48.10,+1
Leo Whitefang,Ky Kiske,1008,49.50,50.50,0
Leo Whitefang,May,580,50.00,50.00,0
