Character 1,Character 2,Num Matches,Player 1 Win Rate,Player 2 Win Rate,Score
GI,TE,26975,47.05,52.95,-2
GI,BI,42572,49.72,50.28,0
GI,SI,23926,48.74,51.26,-1
AN,SO,26863,51.51,48.49,+1
AN,KY,26670,50.99,49.01,0
AN,MA,13120,53.77,46.23,+2
AN,AX,8434,53.59,46.41,+2
AN,CH,12606,53.74,46.26,+2
AN,PO,17126,48.55,51.45,-1
AN,FA,11541,53.57,46.43,+2
AN,MI,11509,50.02,49.98,0
AN,ZA,9135,47.96,52.04,-1
AN,RA,17634,53.19,46.81,+2
AN,LE,8949,46.09,53.91,-2
AN,NA,16366,52.56,47.44,+2
AN,GI,16382,53.24,46.76,+2
AN,IN,8595,54.55,45.45,+2
AN,GO,7639,46.11,53.89,-2
AN,JC,8055,47.98,52.02,-1
AN,HA,8758,45.55,54.45,-2
AN,BA,18870,50.95,49.05,0
AN,TE,13123,50.47,49.53,0
AN,BI,18501,51.97,48.03,+1
AN,SI,13538,52.43,47.57,+1
IN,SO,21622,46.82,53.18,-2
IN,KY,20497,48.88,51.12,0
IN,MA,11393,48.75,51.25,0
IN,AX,6955,50.47,49.53,0
IN,CH,11066,53.65,46.35,+2
IN,PO,14229,47.36,52.64,-2
IN,FA,10461,53.70,46.30,+2
IN,MI,9402,52.13,47.87,+1
IN,ZA,8077,51.22,48.78,0
IN,RA,15097,53.33,46.67,+2
IN,LE,7208,47.92,52.08,-1
IN,NA,13873,52.00,48.00,+1
IN,GI,16360,54.88,45.12,+2
IN,AN,8365,45.44,54.56,-2
IN,GO,5076,48.21,51.79,-1
IN,JC,6314,49.95,50.05,0
IN,HA,6626,53.50,46.50,+2
IN,BA,15941,43.27,56.73,-3
IN,TE,11557,52.38,47.62,+1
IN,BI,17406,55.15,44.85,+3
IN,SI,10613,51.00,49.00,0
GO,SO,18473,56.76,43.24,+3
GO,KY,17303,58.42,41.58,+3
GO,MA,9284,53.76,46.24,+2
GO,AX,5730,41.26,58.74,-3
GO,CH,9303,51.45,48.55,+1
GO,PO,11306,56.16,43.84,+3
GO,FA,8462,49.59,50.41,0
GO,MI,8098,58.59,41.41,+3
GO,ZA,6681,49.09,50.91,0
GO,RA,11598,53.11,46.89,+2
GO,LE,6621,54.12,45.88,+2
GO,NA,12348,49.60,50.40,0
GO,GI,11818,55.42,44.58,+3
GO,AN,8421,53.35,46.65,+2
GO,IN,6417,48.39,51.61,-1
GO,JC,5548,48.47,51.53,-1
GO,HA,6448,49.94,50.06,0
GO,BA,13360,53.65,46.35,+2
GO,TE,9162,45.54,54.46,-2
GO,BI,13114,51.87,48.13,+1
GO,SI,9269,56.09,43.91,+3
JC,SO,21886,50.97,49.03,0
JC,KY,21000,50.64,49.36,0
JC,MA,12209,45.81,54.19,-2
JC,AX,7553,45.32,54.68,-2
JC,CH,10077,51.64,48.36,+1
JC,PO,12740,50.73,49.27,0
JC,FA,10723,50.83,49.17,0
JC,MI,9218,45.47,54.53,-2
JC,ZA,7796,50.87,49.13,0
JC,RA,16457,48.91,51.09,0
JC,LE,6599,53.52,46.48,+2
JC,NA,13102,50.53,49.47,0
JC,GI,14462,54.47,45.53,+2
JC,AN,7980,48.56,51.44,-1
JC,IN,7039,47.81,52.19,-1
JC,GO,5505,48.17,51.83,-1
JC,HA,8434,44.66,55.34,-3
JC,BA,15848,49.16,50.84,0
JC,TE,10975,53.93,46.07,+2
JC,BI,17817,52.66,47.34,+2
JC,SI,10647,50.84,49.16,0
HA,SO,23980,48.44,51.56,-1
HA,KY,21907,47.97,52.03,-1
HA,MA,12454,44.83,55.17,-3
HA,AX,7979,45.83,54.17,-2
HA,CH,12325,47.38,52.62,-2
HA,PO,14587,40.93,59.07,-3
HA,FA,11178,52.46,47.54,+1
HA,MI,9799,46.27,53.73,-2
HA,ZA,8693,49.98,50.02,0
HA,RA,18836,46.78,53.22,-2
HA,LE,7908,44.92,55.08,-3
HA,NA,14857,49.12,50.88,0
HA,GI,16970,45.37,54.63,-2
HA,AN,8226,50.35,49.65,0
HA,IN,7098,43.70,56.30,-3
HA,GO,5709,48.20,51.80,-1
HA,JC,7124,52.68,47.32,+2
HA,BA,16779,46.44,53.56,-2
HA,TE,11574,53.59,46.41,+2
HA,BI,20107,48.71,51.29,-1
HA,SI,11160,47.90,52.10,-1
BA,SO,59631,49.74,50.26,0
BA,KY,58738,50.05,49.95,0
BA,MA,29078,50.85,49.15,0
BA,AX,16385,54.24,45.76,+2
BA,CH,25013,55.92,44.08,+3
BA,PO,36317,49.30,50.70,0
BA,FA,24480,50.02,49.98,0
BA,MI,24771,48.54,51.46,-1
BA,ZA,18469,52.45,47.55,+1
BA,RA,40040,53.50,46.50,+2
BA,LE,18253,49.98,50.02,0
BA,NA,37447,49.93,50.07,0
BA,GI,40289,52.76,47.24,+2
BA,AN,21864,47.44,52.56,-2
BA,IN,17711,54.94,45.06,+2
BA,GO,13565,44.87,55.13,-3
BA,JC,16687,49.60,50.40,0
BA,HA,18214,51.73,48.27,+1
BA,TE,30632,50.71,49.29,0
BA,BI,45335,57.85,42.15,+3
BA,SI,28788,52.83,47.17,+2
TE,SO,37705,54.26,45.74,+2
TE,KY,37607,47.79,52.21,-1
TE,MA,19626,48.19,51.81,-1
TE,AX,11443,41.13,58.87,-3
TE,CH,17289,49.57,50.43,0
